day,run_id,n_classes,class_size_cap,n_students,n_teachers,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
35,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9097232729163912,0.8685034029206122,0.914410589048092,0.9442094641936811,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.076
36,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9132484906432105,0.8735701201985979,0.9173773913557743,0.9463971255515377,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,21,0.084
37,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9165679443964333,0.8791445386367036,0.9206642964949927,0.9478710135862329,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,21,0.08399999999999999
38,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9196032446791158,0.8840384676029469,0.9237726695529043,0.9495697357585827,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,25,0.1
39,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9226298809494016,0.8894957918762136,0.9266218346435716,0.950449693151757,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,16,0.064
40,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9254570836235481,0.8932364803763133,0.9288871727117882,0.9520553000532368,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.07600000000000001
41,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9280118865825814,0.897329896791278,0.931460403047393,0.9533519734599818,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,21,0.08400000000000002
42,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9304304908034636,0.9009995778296923,0.9342515124792274,0.9550654335441959,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,21,0.08400000000000002
43,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.932756583564197,0.9040104305092665,0.9358816218301549,0.9565594175108263,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,17,0.068
44,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9348924859247485,0.9080073053432767,0.9379181834966347,0.958167818744468,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,20,0.08
