run_id,n_classes,class_size_cap,n_students,n_teachers,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,n_days,K_mean_start,A_mean_start,K_mean_end,K_p10_end,K_p50_end,K_p90_end,A_mean_end,A_p10_end,A_p50_end,A_p90_end,K_mean_gain,A_mean_gain,incidents_avg_per_day,incidents_total,time_lost_avg,time_lost_max
35,10,18,180,10,30.0,0.05,0.002,90,18008,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.3906397263038191,0.3502557787542595,0.9352212882972963,0.9158763051619954,0.9367049274019885,0.9533755200537953,0.3502557787542595,0.11991979382398786,0.32879727697857186,0.6124070519138202,0.5445815619934773,0.0,35.93333333333333,3234,0.14373333333333332,0.18400000000000002
36,10,18,180,10,30.0,0.05,0.002,90,18009,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.43546923227093104,0.3424743023238049,0.934737896167185,0.9167501315828672,0.9355290222587853,0.9501618118485842,0.3424743023238049,0.1336399117051893,0.3354315687894748,0.5689805352894908,0.4992686638962539,0.0,36.08888888888889,3248,0.14435555555555557,0.192
37,10,18,180,10,30.0,0.05,0.002,90,18010,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.431135045094646,0.3338490136341499,0.9350472902638582,0.9136127469948754,0.9378910959026625,0.9515215838386549,0.3338490136341499,0.12123302865744676,0.31550488892069095,0.5568106388106766,0.5039122451692122,0.0,36.044444444444444,3244,0.1441777777777778,0.21200000000000002
38,10,18,180,10,30.0,0.05,0.002,90,18011,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.44479552051305477,0.31665619277399515,0.9361833102435975,0.9146071860116051,0.9391495225719657,0.9531107915761111,0.31665619277399515,0.09488512359666434,0.28544717130914254,0.5978065025777337,0.4913877897305427,0.0,36.1,3249,0.1444,0.196
39,10,18,180,10,30.0,0.05,0.002,90,18012,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4119012140029819,0.3369245081328117,0.9358774892876413,0.9179875383595784,0.9371878274227177,0.9519300506514289,0.3369245081328117,0.1245667550124521,0.3209254245477028,0.582077065588353,0.5239762752846593,0.0,35.766666666666666,3219,0.14306666666666668,0.21600000000000003
40,10,18,180,10,30.0,0.05,0.002,90,18013,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4280961953734656,0.33322132772129165,0.9383411515585288,0.9182957708967115,0.9392212709670017,0.9562639349990041,0.33322132772129165,0.11540390437184844,0.3129621859821645,0.591221861629357,0.5102449561850633,0.0,35.94444444444444,3235,0.14377777777777778,0.208
41,10,20,200,10,30.0,0.05,0.002,90,20004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.42015662372091567,0.32102110432053615,0.92072050968545,0.8997665313679509,0.9224935270145548,0.9413756588658966,0.32102110432053615,0.09755362296597478,0.296391086124436,0.5645077247977206,0.5005638859645344,0.0,44.34444444444444,3991,0.17737777777777777,0.26799999999999996
42,10,20,200,10,30.0,0.05,0.002,90,20005,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4086958342792614,0.34649104412774756,0.9191078133847468,0.8905412930370518,0.9218127688728746,0.9392862077604214,0.34649104412774756,0.12575335309357102,0.3349559622935463,0.5905451674975096,0.5104119791054853,0.0,43.7,3933,0.1748,0.22
43,10,20,200,10,30.0,0.05,0.002,90,20006,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4422446668337312,0.3269120589772603,0.9237582180256605,0.8998301464061439,0.9254472682255772,0.9444633087713081,0.3269120589772603,0.10798425661278858,0.3091902465746368,0.5549735040362322,0.4815135511919293,0.0,43.455555555555556,3911,0.1738222222222222,0.24400000000000002
44,10,20,200,10,30.0,0.05,0.002,90,20007,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4141518052068073,0.36319251702437727,0.9149672820141896,0.8860230534585866,0.919047109783373,0.9387745144071379,0.36319251702437727,0.12227760463420416,0.35950586284705965,0.6119832238530667,0.5008154768073824,0.0,43.86666666666667,3948,0.17546666666666666,0.22400000000000003
